1,6,10,18,28,31
4,8,9,26,30,47
9,21,23,35,39,46
1,2,12,21,27,49
14,21,25,27,30,39
9,10,18,31,39,41
4,5,15,21,24,27
1,2,15,35,45,49
22,24,25,27,36,37
13,17,22,29,44,45
1,3,23,29,38,49
12,24,34,36,40,44
2,4,21,43,48,49
8,9,13,15,41,44
13,16,22,40,43,49
3,32,35,39,40,46
5,17,20,24,39,43
4,9,10,21,26,29
11,25,29,31,34,36
1,7,21,36,37,43
6,14,30,33,36,42
5,17,20,34,37,43
11,18,30,40,43,49
1,4,5,11,37,44
8,18,19,21,36,42
21,24,28,33,43,44
1,12,17,21,26,40
12,16,23,25,26,27
6,20,29,35,40,42
2,28,34,36,47,49
10,14,17,21,22,46
8,9,19,28,36,46
13,25,32,34,39,49
8,14,15,21,28,48
23,25,28,36,37,49
16,19,26,36,38,47
1,11,20,21,34,35
2,7,23,39,41,45
27,29,37,38,44,49
4,7,13,14,20,32
4,14,17,25,36,46
10,22,32,35,43,46
6,13,18,39,40,44
3,6,7,22,32,41
1,2,8,26,32,40
1,7,9,29,35,45
4,6,13,15,22,38
5,10,16,21,34,36
15,20,25,30,35,44
1,10,11,15,37,39
11,28,32,33,35,46
1,4,7,25,29,48
4,11,16,20,26,44
10,12,15,20,31,46
9,12,16,36,37,40
3,17,24,27,43,46
2,6,14,17,24,40
7,15,27,44,47,49
4,5,8,10,15,35
2,9,11,27,29,31
5,18,24,29,36,42
2,9,12,17,18,23
6,10,15,22,23,37
7,22,24,30,40,45
1,2,10,22,37,41
3,8,12,19,27,36
1,8,30,39,41,46
23,26,30,31,32,35
2,21,26,39,41,46
13,15,19,30,38,43
10,25,31,39,42,49
4,9,10,16,42,43
3,4,23,34,40,46
6,9,22,30,34,39
6,11,15,40,42,44
15,19,22,23,25,38
18,23,25,30,31,47
9,11,21,30,32,44
3,16,20,31,46,48
4,15,16,21,28,36
7,10,25,34,43,44
4,15,18,25,37,46
3,13,24,25,38,44
2,3,28,32,33,49
12,30,38,43,47,49
1,2,27,29,35,40
8,19,24,25,40,41
4,5,15,37,39,47
1,25,26,30,31,47
18,21,26,32,41,49
3,5,6,24,36,40
5,7,20,44,47,48
6,15,16,22,25,33
8,22,24,28,39,46
15,29,34,35,44,48
3,17,22,27,35,39
2,14,25,27,43,47
10,20,25,31,38,44
1,8,17,25,26,42
5,7,9,27,40,43
10,14,16,33,38,40
33,34,36,37,46,47
1,4,18,21,29,30
3,9,27,38,41,42
9,14,15,42,44,48
7,10,19,20,25,46
5,14,25,27,33,45
5,23,24,29,36,45
17,21,27,36,37,42
8,14,15,23,27,31
4,12,16,29,36,37
7,21,24,36,38,42
1,7,13,14,25,28
4,8,23,27,30,34
7,10,12,17,38,46
9,11,15,37,39,43
7,13,25,28,34,43
7,10,26,34,44,45
10,12,21,24,27,38
12,17,23,24,34,48
1,3,9,15,17,38
4,14,20,24,29,45
1,4,6,11,24,45
12,15,25,31,38,45
5,15,23,33,35,45
8,11,17,22,23,35
3,12,16,23,31,43
10,25,33,39,41,49
15,21,34,40,43,46
2,14,22,24,26,36
1,12,19,23,27,47
2,4,5,18,26,36
1,12,13,15,17,27
4,10,21,22,23,26
3,14,15,31,36,46
15,29,30,42,45,48
8,25,27,30,31,48
4,16,20,26,40,42
5,12,21,24,27,36
1,9,14,19,21,46
13,14,24,32,48,49
12,19,25,32,42,48
9,14,27,36,42,44
1,3,8,30,37,45
17,18,26,30,39,40
2,21,24,27,35,36
9,28,40,42,43,46
3,6,8,16,31,38
4,6,10,28,32,34
12,13,16,24,28,45
8,11,20,38,39,43
1,3,17,29,44,47
15,31,36,39,45,47
6,13,35,39,40,47
5,8,10,33,42,48
3,9,15,24,33,34
